ogid	fname	gname	year	occ	gqid	cy	ark	title	creator
tillier-claude-1801-04-11	Tillier	Claude	1801	novelist	A6-771	FR	https://gallica.bnf.fr/ark:/12148/bpt6k103094m	Fontainebleau, paysages, légendes, souvenirs, fantaisies / par Charles Asselineau, Philibert Audebrand,... [et al.] ; [A	Tillier, Claude (1801-1844). Auteur du texte
vacquerie-auguste-1819-11-19	Vacquerie	Auguste	1819	writer	A6-782	FR	https://gallica.bnf.fr/ark:/12148/bpt6k103094m	Fontainebleau, paysages, légendes, souvenirs, fantaisies / par Charles Asselineau, Philibert Audebrand,... [et al.] ; [A	Vacquerie, Auguste (1819-1895). Auteur du texte
monselet-charles-1825-04-30	Monselet	Charles	1825	writer	A6-583	FR	https://gallica.bnf.fr/ark:/12148/bpt6k103094m	Fontainebleau, paysages, légendes, souvenirs, fantaisies / par Charles Asselineau, Philibert Audebrand,... [et al.] ; [A	Monselet, Charles (1825-1888). Auteur du texte
hermant-abel-1862-02-03	Hermant	Abel	1862	novelist	A6-417	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3410318j	Monsieur de Courpière marié (nouveaux souvenirs) : ouvrage inédit / Abel Hermant ; illustrations d'après les aquarelles 	Hermant, Abel (1862-1950). Auteur du texte
erckmann-emile-1822-05-20	Erckmann	Emile	1822	novelist	A6-297	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1228826	Souvenirs d'un ancien chef de chantier à l'isthme de Suez / par Erckmann-Chatrian ; illustrés... par Riou...	Erckmann, Émile (1822-1899). Auteur du texte
le-goffic-charles-1863-07-14	Le Goffic	Charles	1863	novelist	A6-489	FR	https://gallica.bnf.fr/ark:/12148/bpt6k54612708	Poésies complètes : Amour breton, Le bois dormant, Le pardon de la reine Anne, Impressions et souvenirs / Charles Le Gof	Le Goffic, Charles (1863-1932). Auteur du texte
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k10955124	Un été au bord de la Baltique et de la mer du Nord, souvenirs de voyage, par X. Marmier,...	Marmier, Xavier (1808-1892). Auteur du texte
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6365959v	La France envahie (juillet à septembre 1870) : Forbach et Sedan Impressions et souvenirs de guerre (1er août 1871) / Jul	Claretie, Jules (1840-1913). Auteur du texte
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1172322k	Souvenirs et révélations. Histoire diplomatique de l'alliance franco-russe, 1873-1893, par Ernest Daudet. 3e édition. (5	Daudet, Ernest (1837-1921). Auteur du texte
simon-jules-1814-12-27	Simon	Jules	1814	writer	A6-745	FR	https://gallica.bnf.fr/ark:/12148/bpt6k24328j	Souvenirs du 4 septembre : Origine et chute du Second Empire : Le gouvernement de la défense nationale : édition illustr	Simon, Jules (1814-1896). Auteur du texte
